title,author,price,currency,seller_name,seller_city,seller_region,seller_country,about,binding,condition,edition,isbn,publisher,year_published,availability,searched,edmonton,signed
Studies in Robertson Davies' Deptford Trilogy,"Lawrence, Robert Gilford & Samuel L. Macey (Ed.)",22.0,USD,High Park Books,Kitchener,ON,Canada,"Soft cover. Condition: Very Good+. Nine academic essays on the Deptford trilogy. (No. 20 ELS Monograph Series). Includes an Intro essay by Robertson Davies. (iv) 123 pages. 8vo - over 7¾ - 9¾"" tall. Former owner's sticker on inside top corner of inside page & slight crease to cover at top front corner. Pages clean, tight & unmarked. ",Paperback,UsedCondition,,9780920604380,"English Literary Studies, University of Victoria, Victoria, BC",1980.0,InStock,abebooks - lawrence - studies robertson deptford,False,False
Studies in Robertson davies' Deptford Trilogy,"Lawrence, Robert G. & Samuel L. Macey (editors). With an Introduction By Robertson Davies",20.0,USD,Purpora Books,Comox,BC,Canada,"Trade Paperback Original. Condition: Near Fine Plus. First Edition. Davies' introduction is title ""The Deptford Trilogy in Retrospect"". Contains nine essays; 123 pages. ",Paperback,UsedCondition,First Edition.,9780920604380,"English Literary Series (ELS) / University of Victoria, Victoria, BC",1980.0,InStock,abebooks - lawrence - studies robertson deptford,False,False
Alberta : 100 Years a Home,"Collum, Peter [Editor]",3.87,USD,Books From California,Simi Valley,CA,U.S.A.,hardcover. Condition: Very Good. ,Hardcover,UsedCondition,,9780969018452,Edmonton Journal,2005.0,InStock,abebooks - collum - alberta 100 years home,False,False
Alberta : 100 Years a Home,"Collum, Peter",7.33,USD,Better World Books: West,Reno,NV,U.S.A.,Condition: Very Good. First Edition. Former library book; may include library markings. Used book that is in excellent condition. May show signs of wear or have minor defects. ,Hardcover,UsedCondition,First Edition.,9780969018452,Edmonton Journal,2005.0,InStock,abebooks - collum - alberta 100 years home,False,False
Alberta : 100 Years a Home,"Collum, Peter",7.33,USD,Better World Books: West,Reno,NV,U.S.A.,"Condition: Good. First Edition. Used book that is in clean, average condition without any missing pages. ",Hardcover,UsedCondition,First Edition.,9780969018452,Edmonton Journal,2005.0,InStock,abebooks - collum - alberta 100 years home,False,False
Alberta : 100 Years a Home,"Collum, Peter [Editor]",8.4,USD,ThriftBooks-Dallas,Dallas,TX,U.S.A.,"Hardcover. Condition: Good. No Jacket. Pages can have notes/highlighting. Spine may show signs of wear. ~ ThriftBooks: Read More, Spend Less. ",Hardcover,UsedCondition,,9780969018452,Edmonton Journal,2005.0,InStock,abebooks - collum - alberta 100 years home,False,False
Alberta : 100 Years a Home,"Collum, Peter [Editor]",11.44,USD,"GF Books, Inc.",Hawthorne,CA,U.S.A.,Condition: Good. Book is in Used-Good condition. Pages and cover are clean and intact. Used items may not include supplementary materials such as CDs or access codes. May show signs of minor shelf wear and contain limited notes and highlighting. ,Hardcover,UsedCondition,,9780969018452,Edmonton Journal,2005.0,InStock,abebooks - collum - alberta 100 years home,False,False
Alberta : 100 Years a Home,Peter [Editor] Collum,13.0,USD,Isle of Books,Bozeman,MT,U.S.A.,Hardcover. Condition: Good. ,Hardcover,UsedCondition,,9780969018452,Edmonton Journal January 2005,2005.0,InStock,abebooks - collum - alberta 100 years home,False,False
Alberta : 100 Years a Home,"Collum, Peter [Editor]",32.95,USD,Mister-Seekers Books,Edmonton,AB,Canada,"Hardcover. Condition: As New. Dust Jacket Condition: Near Fine. 1st Edition. In Excellent Used Condition. For More Information On Condition. Please See All Photos. Color And B/W Photographs Throughout, As Celebration Of A Century Of Alberta From The Pages Of The Calgary Herald And The Edmonton Journal. ",Hardcover,UsedCondition,1st Edition,9780969018452,Edmonton Journal,2005.0,InStock,abebooks - collum - alberta 100 years home,True,False
Alberta: 100 Years a Home,Peter Collum,40.0,USD,Edmonton Book Store,Edmonton,AB,Canada,"Condition: Very Good. Dust Jacket Condition: Very Good. 4to pp. 426, color and b/w photographs throughout, as celebration of a century of Alberta from the pages of the Calgary Herald and the Edmonton Journal.heavy book additional postage will apply. book. ",Hardcover,UsedCondition,,9780969018452,"Edmonton Journal, Edmonton",2005.0,InStock,abebooks - collum - alberta 100 years home,True,False
Alberta : 100 Years a Home,"Collum, Peter",39.95,USD,BOOK BUDDY,Thompsonville,MI,U.S.A.,"HARDBACK W DUST JACKET. Condition: Near Fine. Dust Jacket Condition: Near Fine. PHOTOS (illustrator). BLUE DJ, WHITE LETTERING, CLEAN, TIGHT, 426 PGS. ",Hardcover,UsedCondition,,9780969018452,"Edmonton Journal, Edmonton, AB, Canada",2005.0,InStock,abebooks - collum - alberta 100 years home,False,False
"Alberta, 100 Years a Home","Collum, Peter, Editor",39.95,USD,"Books & More, Darryld & Trixie Kautzmann",Lake Havasu City,AZ,U.S.A.,"2005 First Edition, First Printing, Coffey Table Size, VG/VG, the people, issues, and events that buid a province. From the pages of the Calgary Hearld and the Edmonton Journal, ISBN 0-9690184-5-2, 426 pages, Extra postage wil be required due to the size. ",Hardcover,UsedCondition,,,Edmonton Journal Group,,InStock,abebooks - collum - alberta 100 years home,False,False
Biography And Family Record Of Lorenzo Smith,Eliza R Snow Smith,23.87,USD,BoundlessBookstore,Wallingford,,United Kingdom,Hardcover. Condition: Good. Facsimile. Good condition. Boards have some wear. Content is clean and bright. No DJ. ,Hardcover,UsedCondition,,,Anon,1999.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
"BIOGRAPHY AND FAMILY RECORD OF LORENZO SNOW Leather, This is the 1999 First Presidency Christmas Gift for Church Employees.",ELIZA R. SNOW SMITH,19.0,USD,The Book Garden,Bountiful,UT,U.S.A.,Leather. Condition: As New - Cash. The book is as new in wrap. The box shows surface rubbing. Stock photos may not look exactly like the book. ,Hardcover,UsedCondition,,,The Deseret News Press January 1999,1999.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
Biography and Family Record of Lorenzo Snow,"Smith, Eliza Snow",10.0,USD,Lowry's Books,Three Rivers,MI,U.S.A.,"Cloth over Board. Condition: Good. No Jacket. Reprint. Some light rubbing and edgewear. This is a reprint of the 1884 edition. Text has previous owners name inked on free front endpaper, but remains tight in binding. Size: 8vo - over 7¾"" - 9¾"" tall. Reprint. ",Hardcover,UsedCondition,Reprint.,,"Deseret Book Co, Salt Lake City",1884.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
Biography and Family Record of Lorenzo Snow,Eliza R. Snow Smith,30.0,USD,Edmonton Book Store,Edmonton,AB,Canada,"Condition: Very Good. Dust Jacket Condition: No dj. 8vo pp. xvi, 581. AEG, silk end pages, embossed boards, facsimile reprint. book. ",Hardcover,UsedCondition,,,"The Church of Jesus Christ of Latter-Day Saints, Salt Lake City",1999.0,InStock,abebooks - eliza - biography family record lorenzo,True,False
Rare Biography & Family Record of Lorenzo Snow Leather LDS Mormon Employee Gift Card,Eliza R. Snow,30.42,USD,ThriftBooks-Dallas,Dallas,TX,U.S.A.,"Hardcover. Condition: Good. No Jacket. Pages can have notes/highlighting. Spine may show signs of wear. ~ ThriftBooks: Read More, Spend Less. ",Hardcover,UsedCondition,,,Generic,,InStock,abebooks - eliza - biography family record lorenzo,False,False
Biography & Family Record of Lorenzo Snow by Eliza R. Smith (1975-06-03),Eliza R. Smith,25.0,USD,The Book Garden,Bountiful,UT,U.S.A.,"Hardcover. Condition: Very Good - Cash. No Jacket. Very little wear to cover, corners and edges. Binding is tight, pages are unmarked and crisp. Unmarked pages. Secure pages, solid binding. Stock photos may not look exactly like the book. ",Hardcover,UsedCondition,,,Western Epics Pub Co January 1750,1750.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
BIOGRAPHY AND FAMILY RECORD OF LORENZO SNOW,"Smith, Eliza R. Snow",14.0,USD,Confetti Antiques & Books,Spanish Fork,UT,U.S.A.,"Hardcover. Condition: Very Good. Cover has some light edge and corner wear. ; ; 6.25"" x 9.25""; 581 pages. ",Hardcover,UsedCondition,,9780914740155,Western Epics Publishing Company,1975.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
"BIOGRAPHY AND FAMILY RECORD OF LORENZO SNOW Leather, This is the 1999 First Presidency Christmas Gift for Church Employees.",ELIZA R. SNOW SMITH,25.0,USD,The Book Garden,Bountiful,UT,U.S.A.,"Leather. Condition: Very Good - Cash. No Jacket. Minor rubbing and edge wear to cover, with light reader wear to pages. Still great condition. Facsimile Reprint. Maroon colored leather hardboards, pressed decorative corners and lined borders; gold lettering face and spine. Gold gilt page ends. Silk ribbon page marker. Gift card included. Stock photos may not look exactly like the book. ",Hardcover,UsedCondition,,,The Deseret News Press January 1999,1999.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
Biography and Family Record of Lorenzo Snow,"Smith, Eliza R. Snow",20.0,USD,"Weller Book Works, A.B.A.A.",Salt Lake City,UT,U.S.A.,8866. ,,UsedCondition,8866.,,,,InStock,abebooks - eliza - biography family record lorenzo,False,False
Biography and Family Record of Lorenzo Snow,"Smith, Eliza R. Snow",35.0,USD,Bailey Books,St.Albert,AB,Canada,"Hardcover. Condition: Near Fine. No Jacket. First Thus. First edition thus of the 1999 facsimile reprint. As new, unread and not remaindered. Corners are sharp and square. Interior is crisp, clean and solid. Bright gilt titles and devices to spine, bright gilt titles to front board. Immaculate dark brown faux leather boards. Gilt edges. Silk ribbon marker. Silk end papers. Without dust jacket as issued. Few light ""dings"" to the fore and bottom edges. A beautiful unread copy. ",Hardcover,UsedCondition,First Thus,,"Church of Jesus Christ of Latter-day Saints, Salt Lake",1999.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
"Biography and Family Record of Lorenzo Snow, One of the Twelve Apostles of the Church of Jesus Christ of Latter-Day Saints","Smith, Eliza R. Snow",16.05,USD,Bob's Book Journey,Austin,TX,U.S.A.,"Hardcover. Condition: Very Good. No Jacket. Reprint. A photomechanical facsimile reprint of the original 1884 edition printed in Salt Lake City by the Desert News Company. Brown boards with gold-color lettering and decorations, frontis., xvi, 581 pp. ",Hardcover,UsedCondition,Reprint,,"Zion's Book Store, Salt Lake City, Utah, U.S.A.",1975.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
Biography and Family Record of Lorenzo Snow,Eliza R. Snow Smith,38.0,USD,ThriftBooksVintage,Tukwila,WA,U.S.A.,"Leather Bound. Condition: Good. No Jacket. Shelf and handling wear to cover and binding, with general signs of previous use. Wear commensurate with age and use. Clean unmarked copy. Light scuffing and smudging across boards and spine strip. Secure packaging for safe delivery. ",Hardcover,UsedCondition,,,Church of Jesus Christ of the Latter Day Saints,,InStock,abebooks - eliza - biography family record lorenzo,False,False
biography and family record of Lorenzo snow leather bound facsimile of 1884 edition,eliza snow,18.0,USD,Chiefly Books,Cheyenne,WY,U.S.A.,Hardcover. Condition: Near Fine. a beautiful leather bound book with gilt lettering and gilt page edges. an excellent reproduction of the 1884 work. ,Hardcover,UsedCondition,,,"LDS, Salt Lake City",1999.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
"BIOGRAPHY AND FAMILY RECORD OF LORENZO SNOW Leather, This is the 1999 First Presidency Christmas Gift for Church Employees.",ELIZA R. SNOW SMITH,35.0,USD,The Book Garden,Bountiful,UT,U.S.A.,Leather. Condition: As New - Cash. Beautiful maroon leather book as new in wrap. NO box. Stock photos may not look exactly like the book. ,Hardcover,UsedCondition,,,The Deseret News Press January 1999,1999.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
"BIOGRAPHY AND FAMILY RECORD OF LORENZO SNOW Leather, This is the 1999 First Presidency Christmas Gift for Church Employees.",ELIZA R. SNOW SMITH,35.0,USD,The Book Garden,Bountiful,UT,U.S.A.,"Leather. Condition: As New - Cash. Dust Jacket Condition: As New. Limited. Includes the box, and employee card from 1999. Beautiful maroon leather with vibrant gold gilt page edges, and gold illustrations and embellishments on the cover. There is rubbing to the edges and corners of the box. Stock photos may not look exactly like the book. ",Hardcover,UsedCondition,Limited.,,The Deseret News Press January 1999,1999.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
Biography and Family Record of Lorenzo Snow,"Smith, Eliza R. Snow",35.0,USD,The Book Garden,Bountiful,UT,U.S.A.,"Leather. Condition: Very Good - Cash. Minor rubbing and edge wear to cover, with light reader wear to pages. Still great condition. Has a gift inscription. Stock photos may not look exactly like the book. ",Hardcover,UsedCondition,,,The Deseret News Press January 1999,1999.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
BIOGRAPHY AND FAMILY RECORD OF LORENZO SNOW -,"Smith, Eliza R. Snow",25.0,USD,Confetti Antiques & Books,Spanish Fork,UT,U.S.A.,"Leather. Condition: Very Good. Burgundy leather hard cover with gold lettering, gold ribbon marker and gilt foredges. Very light wear to some of interior. Church Employee Edition from the first Presidency for Christmas 1999. ; ; First Presidency Christmas Gift Edition Series; 6.25"" x 9.25""; 581 pages. ",Hardcover,UsedCondition,,,"Deseret Book, Salt Lake City, UT",1999.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
"BIOGRAPHY AND FAMILY RECORD OF LORENZO SNOW Leather, This is the 1999 First Presidency Christmas Gift for Church Employees.",ELIZA R. SNOW SMITH,40.0,USD,The Book Garden,Bountiful,UT,U.S.A.,Leather. Condition: As New - Cash. No Jacket. Boxed volume: Book is in unopened plastic wrap. The box has general use wear and bumped corners. Stock photos may not look exactly like the book. ,Hardcover,UsedCondition,,,The Deseret News Press January 1999,1999.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
Biography and Family Record of Lorenzo Snow,"Smith, Eliza R. Snow",35.0,USD,Brazos Bend Books,Houston,TX,U.S.A.,"Hardcover. Condition: Fine. First Edition. Fine. Still in original, unopened shrnikwrap and housed in its original box. Brown leather binding with titles in gold on spine and front cover. All page edges gilt. ",Hardcover,UsedCondition,First Edition,,Church of Jesus Christ of Latter Day Saints,1999.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
Biography and Family Record of Lorenzo Snow,"Smith, Eliza R. Snow",42.0,USD,The Book Garden,Bountiful,UT,U.S.A.,Leather. Condition: As New - Cash. Still in shrink wrap. Stock photos may not look exactly like the book. ,Hardcover,UsedCondition,,,The Deseret News Press January 1999,1999.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
Biography and Family Record of Lorenzo Snow: The Words of Lorenzo Snow (Thy Servants Speak),"Snow, Eliza R.; Hansen, Jason",42.09,USD,"GF Books, Inc.",Hawthorne,CA,U.S.A.,Condition: Good. Book is in Used-Good condition. Pages and cover are clean and intact. Used items may not include supplementary materials such as CDs or access codes. May show signs of minor shelf wear and contain limited notes and highlighting. ,Paperback,UsedCondition,,9781609190750,Eborn Books,2012.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
"BIOGRAPHY AND FAMILY RECORD OF LORENZO SNOW Leather, This is the 1999 First Presidency Christmas Gift for Church Employees.",ELIZA R. SNOW SMITH,45.0,USD,The Book Garden,Bountiful,UT,U.S.A.,"Leather. Condition: Very Good - Cash. No Jacket. Dark maroon colored leather hardboards, gold gilt lettering face and spine; pressed decorative borders. Minor wear. Gold gilt page ends, gold silk page marker. Silk page ends. Stock photos may not look exactly like the book. ",Hardcover,UsedCondition,,,The Deseret News Press January 1999,1999.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
"BIOGRAPHY AND FAMILY RECORD OF LORENZO SNOW Leather, This is the 1999 First Presidency Christmas Gift for Church Employees.",ELIZA R. SNOW SMITH,50.0,USD,The Book Garden,Bountiful,UT,U.S.A.,"Leather. Condition: Very Good - Cash. No Jacket. First Edition. Leather binding; gold lettering and borders face and spine; pressed facial borders. Clean, minimal wear. Unmarked pages. Stock photos may not look exactly like the book. ",Hardcover,UsedCondition,First Edition.,,The Deseret News Press January 1999,1999.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
"BIOGRAPHY AND FAMILY RECORD OF LORENZO SNOW Leather, This is the 1999 First Presidency Christmas Gift for Church Employees.",ELIZA R. SNOW SMITH,55.0,USD,The Book Garden,Bountiful,UT,U.S.A.,"Leather. Condition: Very Good - Cash. Very little wear to cover, corners, and edges. Minor damage to gold gilt on fore-edge. Binding is tight, pages are unmarked and crisp. Includes Christmas letter from First Presidency Stock photos may not look exactly like the book. ",Hardcover,UsedCondition,,,The Deseret News Press January 1999,1999.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
"BIOGRAPHY AND FAMILY RECORD OF LORENZO SNOW Leather, This is the 1999 First Presidency Christmas Gift for Church Employees.",ELIZA R. SNOW SMITH,55.0,USD,The Book Garden,Bountiful,UT,U.S.A.,Leather. Condition: Very Good - Cash. Stock photos may not look exactly like the book. ,Hardcover,UsedCondition,,,The Deseret News Press January 1999,1999.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
"BIOGRAPHY AND FAMILY RECORD OF LORENZO SNOW Leather, This is the 1999 First Presidency Christmas Gift for Church Employees.",ELIZA R. SNOW SMITH,55.0,USD,The Book Garden,Bountiful,UT,U.S.A.,"Leather. Condition: Very Good - Cash. Includes gift card from LDS First Presidency. Includes box. Cordovan colored leather hardboards with pressed borders and decorative corners. Gold gilt lettering face and spine. Raised ribs on spine. Gold page ends, silk page marker. Clean. Stock photos may not look exactly like the book. ",Hardcover,UsedCondition,,,The Deseret News Press January 1999,1999.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
Biography and Family Record of Lorenzo Snow : One of the Twelve Apostles of the Church of Jesus Christ of Latter-day Saints,Eliza R. Snow Smith,45.0,USD,The Book Shelf,Salem,OR,U.S.A.,"Hardcover. Condition: Fine. Dust Jacket Condition: No Dust Jacket [as issued]. Facsimile Edition. Full leather binding with blind stamped borders, titles and decorations on spine and cover in gilt, moire endpapers, all edges gilt, sewn-in ribbon marker, LDS Church Employee gift edition with the First Presidency Christmas Greeting laid-in. ",Hardcover,UsedCondition,Facsimile Edition,,"Deseret News Company, Printers, Salt Lake City, Utah",1999.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
BIOGRAPHY AND FAMILY RECORD of LORENZO SNOW,"smith,eliza r snow",58.5,USD,Bingo Books 2,Vancouver,WA,U.S.A.,"Hardcover. Condition: Good. hardback book in good to very good condition,light damp stain last blank page,notes on rear page. ",Hardcover,UsedCondition,,,deseret news company,1884.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
Biography and Family Record of Lorenzo Snow,Eliza R. Snow Smith,47.0,USD,P&D Books,Phoenix,AZ,U.S.A.,"Hardcover. Condition: FINE. Facsimile Reprint, brown leather with gilt lettering, silk moire end-papers, ribbon marker, LDS employee Christmas 1999 gift edition card from the First Presidency laid in, original box included. ",Hardcover,UsedCondition,,,"LDS Church, Salt Lake City, UT",1999.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
"BIOGRAPHY AND FAMILY RECORD OF LORENZO SNOW Leather, This is the 1999 First Presidency Christmas Gift for Church Employees.",ELIZA R. SNOW SMITH,75.0,USD,The Book Garden,Bountiful,UT,U.S.A.,"Leather. Condition: As New - Cash. Dust Jacket Condition: Good. Brown box cover, rubbing to ends, edges. Maroon colored leather hardboards, gold gilt lettering; pressed borders. Gold leaf page ends. Book remains in unopened plastic wrap. Stock photos may not look exactly like the book. ",Hardcover,UsedCondition,,,The Deseret News Press January 1999,1999.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
Biography and Family Record of Lorenzo Snow,Eliza R. Snow Smith,79.0,USD,Sunny Day Books,Mayer,AZ,U.S.A.,Leather Bound. Condition: Fair. Signed and inscribed by LeRoe C. Snow.(Lorenzo's Son) Former library copy with considerable stamps and stickers. Hinge has been compromised. Cover shows considerable wear with sun fading. Your Satisfaction Guaranteed. We ship daily. Expedited shipping available. Signed. ,Hardcover,UsedCondition,,,Church of Jesus Christ of the Latter Day Saints,1999.0,InStock,abebooks - eliza - biography family record lorenzo,False,True
"Biography and Family Record of Lorenzo Snow, One of the Twelve Apostles of the Church of Jesus Christ of Latter-Day Saints","Smith, Eliza R. Snow",100.0,USD,"Ken Sanders Rare Books, ABAA",Salt Lake City,UT,U.S.A.,Leather bound. LDS Church Gift Edition. 581pp. Octavo [23.5 cm] Dark red leather with gilt title on front board and backstrip. Decorative blind stamping to boards. Raised bands. A.E.G. Light yellow satin moire endsheets and pastedowns. First Presidency Christmas greeting laid in. ,Hardcover,UsedCondition,LDS Church Gift Edition.,,"The Church of Jesus Christ of Latter-day Saints, Salt Lake City, UT",1999.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
"Biography and family record of Lorenzo Snow, one of the twelve apostles of the Church of Jesus Christ of Latter-day Saints. Written and compiled by his sister, Eliza R. Snow Smith","Smith, Eliza Roxcy Snow",500.0,USD,Tschanz Rare Books,Salt Lake City,UT,U.S.A.,First Edition. 581pp. Octavo [24 cm] Green cloth with the title gilt stamped on the front board and blind stamped on the rear board. Title and decorations gilt stamped on the backstrip. Both frontis portraits (Lorenzo Snow and Eliza R. Snow) are present with tissue guards. Very good. A small scuff to the backstrip and front board. Gentle rubbing to corners. A nicer than usually seen copy of this biography of the fifth President of the L.D.S. Church written by his esteemed sister. Howes S591. Flake/Draper 7835. ,Hardcover,UsedCondition,First Edition.,,"Deseret News Company Printers, Salt Lake City",1884.0,InStock,abebooks - eliza - biography family record lorenzo,False,False
The Golden Age of the Great Passenger Airships: Graf Zeppelin and Hindenburg,Harold G. Dick,13.48,USD,Discover Books,Toledo,OH,U.S.A.,"Paperback. Condition: GOOD. Spine creases, wear to binding and pages from reading. May contain limited notes, underlining or highlighting that does affect the text. Possible ex library copy, will have the markings and stickers associated from the library. Accessories such as CD, codes, toys, may not be included. ",Paperback,UsedCondition,,9781560982197,Smithsonian Books,1992.0,InStock,abebooks - dick - graf zeppelin hindenburg,False,False
The Golden Age of the Great Passenger Airships: Graf Zeppelin and Hindenburg,"Dick, Harold; Robinson, Douglas",12.64,USD,ThriftBooks-Dallas,Dallas,TX,U.S.A.,"Paperback. Condition: Good. No Jacket. Pages can have notes/highlighting. Spine may show signs of wear. ~ ThriftBooks: Read More, Spend Less. ",Paperback,UsedCondition,,9781560982197,Smithsonian Books,1992.0,InStock,abebooks - dick - graf zeppelin hindenburg,False,False
The Golden Age of the Great Passenger Airships: Graf Zeppelin and Hindenburg,"Dick, Harold; Robinson, Douglas",12.64,USD,ThriftBooks-Dallas,Dallas,TX,U.S.A.,"Paperback. Condition: Very Good. No Jacket. May have limited writing in cover pages. Pages are unmarked. ~ ThriftBooks: Read More, Spend Less. ",Paperback,UsedCondition,,9781560982197,Smithsonian Books,1992.0,InStock,abebooks - dick - graf zeppelin hindenburg,False,False
The Golden Age of the Great Passenger Airships: Graf Zeppelin and Hindenburg,Harold G. Dick,15.67,USD,Book Deals,Tucson,AZ,U.S.A.,"Condition: Fair. Acceptable/Fair condition. Book is worn, but the pages are complete, and the text is legible. Has wear to binding and pages, may be ex-library. ",Paperback,UsedCondition,,9781560982197,Smithsonian Books,1992.0,InStock,abebooks - dick - graf zeppelin hindenburg,False,False
The Golden Age of the Great Passenger Airships: Graf Zeppelin and Hindenburg,Harold G. Dick,15.67,USD,Book Deals,Tucson,AZ,U.S.A.,"Condition: Very Good. Very Good condition. Shows only minor signs of wear, and very minimal markings inside (if any). ",Paperback,UsedCondition,,9781560982197,Smithsonian Books,1992.0,InStock,abebooks - dick - graf zeppelin hindenburg,False,False
The Golden Age of the Great Passenger Airships: Graf Zeppelin and Hindenburg,Harold G. Dick,17.19,USD,"GF Books, Inc.",Hawthorne,CA,U.S.A.,Condition: Good. Book is in Used-Good condition. Pages and cover are clean and intact. Used items may not include supplementary materials such as CDs or access codes. May show signs of minor shelf wear and contain limited notes and highlighting. ,Paperback,UsedCondition,,9781560982197,Smithsonian Books,1992.0,InStock,abebooks - dick - graf zeppelin hindenburg,False,False
The Golden Age of the Great Passenger Airships: Graf Zeppelin and Hindenburg,Harold G. Dick,17.22,USD,Books Unplugged,Amherst,NY,U.S.A.,"Condition: Good. Buy with confidence! Book is in good condition with minor wear to the pages, binding, and minor marks within. ",Paperback,UsedCondition,,9781560982197,Smithsonian Books,1992.0,InStock,abebooks - dick - graf zeppelin hindenburg,False,False
The Golden Age of the Great Passenger Airships: Graf Zeppelin and Hindenburg,"Dick, Harold G., Robinson, Douglas H.",28.65,USD,BooksRun,Philadelphia,PA,U.S.A.,Hardcover. Condition: Fair. First Edition. Ship within 24hrs. Satisfaction 100% guaranteed. APO/FPO addresses supported. ,Hardcover,UsedCondition,First Edition.,9780874743647,Smithsonian Inst Pr (edition First Edition),1986.0,InStock,abebooks - dick - graf zeppelin hindenburg,False,False
The Golden Age of the Great Passenger Airships: Graf Zeppelin and Hindenburg,"Harold G. Dick, Douglas H. Robinson",26.68,USD,Bookmans,Tucson,AZ,U.S.A.,Hardcover. Condition: Acceptable. Ex-library Satisfaction 100% guaranteed. ,Hardcover,UsedCondition,,9780874743647,Smithsonian Books,1986.0,InStock,abebooks - dick - graf zeppelin hindenburg,False,False
The Golden Age of the Great Passenger Airships Graf Zeppelin and Hindenburg,"Dick, Harold G.",11.0,USD,Liberty Book Shop,Avis,PA,U.S.A.,"Paperback. Condition: Very Good+. Very slight edge rubbing, no creases. ; Small 4to 9"" - 11"" tall; 226 pages. ",Paperback,UsedCondition,,9781560982197,"Smithsonian Books, Washington, DC",1992.0,InStock,abebooks - dick - graf zeppelin hindenburg,False,False
The Golden Age of the Great Passenger Airships: Graf Zeppelin and Hindenburg,Harold G. Dick,15.7,USD,Irish Booksellers,Portland,ME,U.S.A.,"Condition: Good. Shipping daily worldwide from the USA. Used books have different signs of use and might not include supplemental materials such as CDs, Dvds, Access Codes, charts or any other extra material. All used books might have various degrees of writing, highliting and wear and tear. book. ",Paperback,UsedCondition,,9781560982197,Smithsonian Books,1992.0,InStock,abebooks - dick - graf zeppelin hindenburg,False,False
The Golden Age of the Great Passenger Airships: Graf Zeppelin and Hindenburg,Harold G. Dick; Douglas H. Robinson,31.82,USD,The Topsham Bookshop,EXETER,DEVON,United Kingdom,"Soft cover. Condition: Very Good. No Jacket. Cover clean, top right hand corner curls up slightly. All pages clean and legible. 252mm x 203mm. ",Paperback,UsedCondition,,9781560982197,Smithsonian Books,1992.0,InStock,abebooks - dick - graf zeppelin hindenburg,False,False
The Golden Age of the Great Passenger Airships: Graf Zeppelin and Hindenburg,"Dick, Harold & Robinson, Douglas",27.92,USD,A Small Bookshop,ELMHURST,VIC,Australia,Pictorial Card Cover. Condition: Near Fine. Reprint. B&W Photographs throughout. ,Paperback,UsedCondition,Reprint,9781560982197,"Smithsonian Books, Washington",1992.0,InStock,abebooks - dick - graf zeppelin hindenburg,False,False
The Golden Age of the Great Passenger Airships: Graf Zeppelin and Hindenburg,Harold G. Dick,27.09,USD,GoldBooks,Austin,TX,U.S.A.,Paperback. Condition: very good. Very Good Copy. Customer Service Guaranteed. ,Paperback,UsedCondition,,9781560982197,Smithsonian Books,1992.0,InStock,abebooks - dick - graf zeppelin hindenburg,False,False
The Golden Age of the Great Passenger Airships: Graf Zeppelin and Hindenburg,"Douglas H. Robinson,Harold G. Dick",36.07,USD,Parrot Books,Hemel Hempstead,HERT,United Kingdom,Paperback. Condition: Fine. ,Paperback,UsedCondition,,9781560982197,Smithsonian Books,1992.0,InStock,abebooks - dick - graf zeppelin hindenburg,False,False
The Golden Age of the Great Passenger Airships: Graf Zeppelin and Hindenburg,"Dick, Harold G.; Robinson, Douglas H.",46.04,USD,Book Deals,Tucson,AZ,U.S.A.,"Condition: Fair. Acceptable/Fair condition. Book is worn, but the pages are complete, and the text is legible. Has wear to binding and pages, may be ex-library. ",Hardcover,UsedCondition,,9780874743647,Smithsonian Inst Pr,1986.0,InStock,abebooks - dick - graf zeppelin hindenburg,False,False
